Mouse ID,Location,Infected,Strain,Block,% T cells of CD45+,% CD4+ of CD45+,% CD4+/Q1 CD62L- / CD44+ eff mem of CD45+,% CD4+/Q2 CD62L+ / CD44+ cent mem of CD45+,% CD4+/Q3 CD62L+ / CD44- naive of CD45+,% CD4+/Q4 CD62L- / CD44- of CD45+,% Ki-67+ activated CD4 of CD45+,% KLRG1+ CD4+ of CD45+,% FoxP3+ CD4+ of CD45+,% Gata3+ CD4+ of CD45+,% Tbet+ CD4+ of CD45+,% RorgT+ CD4+ of CD45+,% CD8+ of CD45+,% Q1 CD62L-  CD44+ eff mem of CD45+,% CD8+/Q2 CD62L+ / CD44+ cent mem of CD45+,% CD8+/Q3 CD62L+ / CD44- naive of CD45+,% CD8+/Q4 CD62L- / CD44- of CD45+,% Ki-67+ CD8+ of CD45+,% KLRG1+ CD8+ of CD45+,% B220+ cells of CD45+,% CD44+ B cells of CD45+,% CD62L+ Bcells of CD45+,% CD62hiCD44+ B cells of CD45+,% CD62hiCD44- B cells of CD45+,% gd T cells of CD45+,% NK cells of CD45+,% lin- of CD45+,% Ki67+ ILCs of CD45+
407,SF,Infected,B6,Block1,46.8,24.4,2.94,1.77,18.6,1.07,3.16,0.78,2.55,0.518,1.27,0.214,21.7,0.744,3.5,16.7,0.707,3.45,0.102,48.9,6.95,38.4,4.37,34.3,1.61,0.282,1.79,0.447
411,SF,Infected,B6,Block1,54.3,26.3,3.32,1.58,17.9,3.52,3.01,0.593,3.45,0.8,0.853,0.374,27,0.946,2.73,18.6,4.64,2.92,0.132,41.5,2.41,29.2,1.1,28.1,1.61,0.374,1.55,0.303
413,SF,Infected,B6,Block1,48.7,24.1,3.58,1.86,17.2,1.43,3.72,0.671,2.67,1.26,2,0.699,23.7,0.642,3.2,19,0.885,3.2,0.0999,47.3,6.48,40.5,4.65,36,1.38,0.571,1.38,0.285
416,SF,Infected,B6,Block1,44.8,23.4,3.33,1.85,17,1.26,3.19,0.448,2.75,0.538,1.04,0.347,20.4,0.918,3.52,15.1,0.812,3.64,0.0645,50.3,8.16,37.7,4.88,33,1.86,0.315,2.13,0.49
423,SF,Infected,B6,Block1,49.3,21.4,6.47,0.5,2.58,11.8,3.56,0.436,2.47,0.707,1.21,0.332,26.3,4.33,0.337,1.02,20.6,2.81,0.0553,42.6,3.31,11.3,0.759,10.6,2.95,0.771,2.3,0.41
424,SF,Infected,B6,Block1,46.2,23.1,2.78,1.46,17.8,1.05,2.7,0.528,2.37,0.544,1.25,0.332,22.2,0.681,3.31,17.7,0.559,3.22,0.0802,50,6.3,44.9,4.36,40.8,1.68,0.391,1.34,0.304
452,SF,Infected,PWK,Block1,58.3,39.1,6.85,27.8,4.06,0.43,4.58,0.826,3.59,0.644,0.353,0.424,18.5,0.769,16.3,1.4,0.0419,2.06,0.0807,37.6,5.55,26.3,2.19,24.1,0.958,0.00312,2.25,1.15
453,SF,Infected,PWK,Block1,64.3,43.7,7.19,32.3,3.76,0.407,4.59,0.894,4.84,0.866,0.639,0.434,20.2,1.45,17.2,1.46,0.0875,2.89,0.0769,32.4,4.32,17.3,1.2,16.1,0.89,0.00452,1.85,0.814
466,SF,Infected,PWK,Block1,58.8,39,4.72,29.7,4.31,0.312,3.74,0.669,3.22,0.532,0.603,0.27,19.3,0.555,17.3,1.43,0.0697,1.85,0.0455,37.8,6.22,21.4,2.22,19.2,0.753,0.00152,1.64,0.603
274,SF,Uninfected,B6,Block2,56.3,32.9,4.81,3.19,23.3,1.57,2.54,0.89,4.82,0.544,0.406,0.842,22.9,0.694,2.83,18.6,0.745,1.48,0.187,40.7,4.36,36,2.64,33.5,1.26,0.231,1.16,0.261
275,SF,Uninfected,B6,Block2,49.6,28,5.15,2.62,18.9,1.33,3.07,3.72,4.68,0.802,1.18,1.76,20.7,0.479,3.88,15.9,0.476,1.99,1,46.6,8.51,40.1,5.28,35.1,1.15,0.32,1.79,0.461
280,SF,Uninfected,B6,Block2,51.3,29.1,4.13,3.02,20.5,1.4,2.4,0.717,4.54,0.609,0.325,0.743,21.5,0.573,3,17.3,0.662,1.35,0.169,45.6,5.38,41,3.39,37.9,1.35,0.252,1.3,0.307
283,SF,Uninfected,B6,Block2,55.2,31,4.06,2.76,22.9,1.31,2.52,0.35,4.28,0.419,0.106,0.875,23.6,0.475,3.15,19.4,0.518,1.59,0.0564,42.2,4.39,37.7,2.55,35.3,0.995,0.247,1.08,0.23
287,SF,Uninfected,B6,Block2,62.6,36.2,5.56,2.25,24.9,3.42,2.9,0.444,5.01,0.464,0.121,0.957,25.8,1.18,2.34,16.6,5.7,1.57,0.0826,33.7,3.57,13.3,0.64,12.7,1.22,0.228,1.25,0.199
291,SF,Uninfected,B6,Block2,59.4,33.7,4.79,2.93,24.3,1.58,2.79,2.31,4.94,0.59,0.72,1.24,25.3,0.684,3.26,20.6,0.757,1.74,0.567,37.7,4.46,31.7,2.39,29.5,1.05,0.222,1.12,0.253
294,SF,Uninfected,B6,Block2,49.6,27.7,4.76,2.73,18.9,1.32,2.73,1.43,4.47,0.437,0.411,1.24,21.3,0.522,3.38,17,0.454,1.47,0.465,47.2,5.25,41.3,2.87,38.6,1.22,0.359,1.28,0.302
298,SF,Uninfected,B6,Block2,57.6,31,4.91,3.16,21.6,1.29,2.59,2.42,5.21,0.718,0.713,1.25,26,0.542,3.93,20.9,0.609,1.75,0.907,38.6,6.93,33.8,4.4,29.6,1.39,0.3,1.55,0.352
304,SF,Uninfected,PWK,Block2,70.7,42,5.17,21.5,14.5,0.835,2.73,0.587,4.81,0.653,0.734,0.387,28.1,0.966,20.7,6.22,0.204,1.98,0.0388,26.1,1.98,13,0.493,12.6,0.871,0,1.61,0.431
311,SF,Uninfected,PWK,Block2,68.7,45.9,5.04,36,4.22,0.648,1.84,1.39,5.67,0.407,0.878,0.395,22.3,0.724,19.4,2.05,0.172,0.743,0.29,29,2.2,21.1,0.933,20.2,0.68,0.00107,1.12,0.169
320,SF,Uninfected,PWK,Block2,74.3,50.1,5.63,33.1,10.2,1.04,2.39,0.532,4.81,0.556,0.459,0.444,23.8,1.09,19.1,3.41,0.174,1.63,0.0563,22.8,1.4,9.93,0.251,9.69,0.714,0.00637,1.47,0.316
103,SF,Infected,129SL,Block2,68.2,49.4,5.85,3.05,38,2.52,3.12,1.19,5.32,0.783,0.503,0.39,18.5,0.269,0.53,17.4,0.347,0.553,0.171,29.6,2.9,23.1,1.29,21.9,0.699,0,0.946,0.226
106,SF,Infected,129SL,Block2,56.1,41.1,5.53,2.86,30.2,2.53,3.61,0.484,4.93,2.06,0.2,0.426,14.8,0.295,0.465,13.7,0.358,0.648,0.0205,40.8,3.66,30.6,1.4,29.3,0.866,0.000930094,1.43,0.499
110,SF,Infected,129SL,Block2,50.4,36.3,5.03,2.59,26.4,2.27,4.84,0.739,4.23,1.94,0.243,0.652,13.9,0.253,0.528,12.8,0.235,0.898,0.0268,45.7,5.12,35.4,2.21,33.3,0.875,0.00128,2.09,0.981
117,SF,Infected,129SL,Block2,67.4,46.9,4.63,2.56,37.6,2.14,3.47,3.43,4.44,0.461,1.56,0.208,20.1,0.522,0.777,18.3,0.438,1.26,0.387,28.4,3.09,23.2,1.44,21.8,1.21,0.00419,2.24,0.657
118,SF,Infected,129SL,Block2,59.2,44.1,5.22,2.71,33.2,2.93,4.6,0.598,4.55,2.2,0.275,0.487,14.9,0.269,0.568,13.7,0.42,0.884,0.0158,36.9,3.65,26.2,1.18,25.1,1.01,0.00065841,2.22,1.18
120,SF,Infected,129SL,Block2,57.8,42.1,5.05,2.59,31.9,2.53,3.83,0.784,4.68,2.1,0.217,0.426,15.5,0.473,0.666,14,0.332,0.999,0.275,38.6,3.41,28.1,1.47,26.8,1.04,0.0111,1.74,0.401
122,SF,Infected,129SL,Block2,57.5,39.7,4.6,2.29,30.4,2.39,5.13,0.732,3.84,1.24,1.46,0.21,17.5,0.385,0.545,16.2,0.428,1.3,0.0654,37,3.84,30.4,1.34,29.2,1.46,0.000860467,3.5,1.51
273,SF,Infected,B6,Block2,42.6,24.3,3.29,1.21,18.5,1.27,3.21,0.543,2.8,0.514,1.01,0.276,17.4,0.821,1.92,14.2,0.506,2.07,0.141,53.3,4.55,47.7,2.55,45.4,1.53,0.262,2.04,0.408
277,SF,Infected,B6,Block2,44.1,25.4,4.67,1.72,17.7,1.23,4.51,0.882,3,1.24,2.5,0.591,17.8,0.817,2.35,14,0.609,2.45,0.136,52.1,3.88,47.3,2.34,45.1,1.61,0.292,1.54,0.321
282,SF,Infected,B6,Block2,46.1,26.4,5.52,1.54,18,1.36,5.3,2.61,2.5,0.675,3.25,0.548,18.8,0.575,2.48,14.9,0.814,2.44,0.16,49.3,3.62,44,2.33,41.8,1.63,0.194,2.61,0.958
284,SF,Infected,B6,Block2,41.3,23.2,3.63,1.92,16.4,1.2,3.69,0.468,2.82,0.835,1.02,0.365,17.2,0.401,2.44,13.9,0.366,1.59,0.0689,55.3,4.06,51.7,2.71,49.1,1.15,0.483,1.5,0.262
288,SF,Infected,B6,Block2,40.1,21.7,4.42,1.71,14.5,1.03,3.94,2.2,2.35,0.418,1.49,0.344,17.4,0.601,2.9,13.3,0.558,2.14,0.209,56.3,5.01,51.5,3.23,48.4,1.4,0.277,1.67,0.241
289,SF,Infected,B6,Block2,41.4,22.4,4.4,1.95,15,0.986,3.91,0.846,2.95,0.871,1.86,0.427,18.3,0.74,2.48,14.6,0.487,1.97,0.162,54.7,4.77,51.1,3.16,48.2,1.71,0.39,1.55,0.223
292,SF,Infected,B6,Block2,59.4,33.8,4.41,3.03,25,1.38,2.61,0.33,4.83,0.529,0.134,0.704,24.7,0.543,3.57,19.9,0.684,1.64,0.0505,37.7,4.16,32.2,2.23,30.1,1.33,0.231,1.13,0.187
297,SF,Infected,B6,Block2,45.6,25.5,4.5,1.98,17.7,1.32,3.47,0.252,3.48,0.574,0.773,0.499,19.1,0.414,2.47,15.7,0.491,1.4,0.0205,50.5,3.29,46,1.96,44.2,1.49,0.387,1.68,0.422
300,SF,Infected,B6,Block2,47,27.3,4.18,1.87,19.8,1.44,3.85,0.292,3.68,0.828,1.12,0.518,18.7,0.524,2.53,15,0.587,2.06,0.0463,47.5,3.6,42.4,2.33,40.2,1.22,0.33,3.61,1.37
302,SF,Infected,PWK,Block2,62.1,40.8,5.16,19.8,14.7,1.09,5.21,0.794,4.13,0.961,1.39,0.283,20.6,1.05,14.1,5.23,0.187,3.25,0.0918,31.7,1.96,20,0.818,19.2,0.835,0,4.45,1.83
305,SF,Infected,PWK,Block2,58.1,34.9,5.82,21.1,7.22,0.752,4.93,0.625,4.19,0.74,1.45,0.342,22.6,1.51,17.5,3.46,0.145,3.71,0.144,37.9,3.55,29.9,1.75,28.2,1.23,0.000700305,2.29,0.534
309,SF,Infected,PWK,Block2,63.3,40.7,6.39,24.2,9.41,0.631,3.99,0.987,4.54,1.45,0.564,0.46,22.2,0.733,18.4,2.95,0.0933,2.25,0.0578,32.6,3.36,18.4,0.944,17.5,1.01,0.000657384,2.36,0.985
310,SF,Infected,PWK,Block2,57.2,37.3,9.41,17.1,9.86,0.848,5.09,1.3,5.83,1.83,0.501,0.771,19.2,1.65,14.6,2.82,0.0875,2.88,0.524,36.4,3.51,18.9,0.821,18.1,1.42,0.00104,4.1,1.67
314,SF,Infected,PWK,Block2,49.9,30,6.46,13.7,9.32,0.564,4.07,0.641,4.19,1.21,1.22,0.246,19.4,0.949,14.7,3.69,0.0871,1.93,0.052,46.1,3.69,28.7,1.27,27.4,0.766,0.000946262,2.59,0.56
316,SF,Infected,PWK,Block2,53.2,29.8,7.77,12.7,8.44,0.897,6.09,0.741,3.74,1.08,2.14,0.462,22.6,1.87,16.4,4.23,0.163,4.54,0.156,40.4,6.2,21.9,1.39,20.6,0.891,0,4.77,2.57
317,SF,Infected,PWK,Block2,56.8,36.5,6.07,17.9,12.1,0.475,4.67,0.792,3.78,0.865,1.92,0.202,19.7,0.974,14.9,3.75,0.0716,2.9,0.185,38.9,4.2,28.6,1.4,27.2,0.995,0.00105,2.74,1.19
318,SF,Infected,PWK,Block2,52.7,33.3,5.41,17.6,9.84,0.444,4.5,0.811,3.3,1.18,1.98,0.364,18.8,0.711,13.7,4.24,0.083,2.1,0.0811,43.3,3.24,31.6,1.23,30.4,0.901,0,2.52,0.969
324,SF,Infected,PWK,Block2,52.4,32.3,6.61,17.4,7.43,0.841,4.4,0.769,3.79,0.9,1.02,0.374,19.4,1.57,14.7,3.05,0.141,3.44,0.077,42.7,3.73,25.2,1.01,24.3,0.821,0.00361,3.35,1.6
360,SF,Infected,PWK,Block2,57,36.2,6.7,17.2,11.3,0.973,5.06,0.619,3.49,0.799,1.98,0.323,20,1.66,14,4.2,0.2,3.84,0.138,38.8,3.26,26.9,1.25,25.7,0.84,0,2.43,0.969
