Cage,Genotype,Left ear tag,Right ear tag,Parentage,RFID Tag,Location,Wedge,Sex,Infected,Lost RFID 1,Lost RFID 2,Missing 1,Missing 2,Uncaptured
13,C57,409,78,NA,No,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
14,C57,410,7032,G552,No,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
14,C57,411,79,NA,51 48 51 50 53,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
14,C57,412,80,NA,51 48 51 53 53,SF,3,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
14,C57,413,81,NA,51 48 50 56 48,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
14,C57,477,82,NA,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
15,C57,415,7028,G567,51 48 51 53 52,SF,3,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
15,C57,416,7024,G567,51 48 50 49 55,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
15,C57,417,7025,G567,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
15,C57,418,7029,G567,51 48 50 52 54,SF,3,Female,Y,FALSE,FALSE,FALSE,TRUE,TRUE
15,C57,419,83,G567,No,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
16,C57,420,7042,G578,No,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
16,C57,421,7043,G571,51 48 51 49 50,SF,3,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
16,C57,422,7039,G578,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
16,C57,423,7036,G578,51 48 50 52 56,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
16,C57,424,84,G578,51 48 50 48 50,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
17,129,425,7018,G429,51 48 50 55 56,SF,4,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
17,129,426,7016,G460,No,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
17,129,427,7017,G459,51 48 51 52 55,SF,4,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
17,129,428,7014,G460,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
17,129,429,7015,G460,51 48 51 50 48,SF,4,Female,Y,TRUE,FALSE,FALSE,FALSE,FALSE
18,129,430,7020,G429,51 48 51 52 54,SF,4,Female,N,FALSE,FALSE,TRUE,TRUE,TRUE
18,129,432,7011,G454,51 48 50 57 56,SF,4,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
18,129,433,7012,G454,No,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
18,129,434,7013,G454,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
19,129,435,7006,G461,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
19,129,436,7010,G430,51 48 51 52 51,SF,4,Female,N,TRUE,FALSE,FALSE,FALSE,FALSE
19,129,437,7007,G461,51 48 50 53 56,SF,4,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
19,129,438,7009,G430,No,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
19,129,439,7008,G461,51 48 50 51 49,SF,4,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
20,129,440,7002,G457,No,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
20,129,441,7003,G459,51 48 50 51 54,SF,4,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
20,129,478,7005,G456,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
20,129,475,7001,G457,51 48 50 53 55,SF,4,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
21,129,445,7055,G430,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
21,129,446,7054,G430,51 48 51 53 57,SF,4,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
21,129,447,7053,G430,No,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
21,129,448,673,G455,51 48 51 57 56,SF,4,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
21,129,476,7056,G430,51 48 51 51 55,SF,4,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
22,PWK,450,728,G652,51 48 51 50 52,SF,2,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
22,PWK,451,729,G652,No,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
22,PWK,452,727,G652,51 48 50 52 50,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
22,PWK,453,730,G652,51 48 51 51 53,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
22,PWK,454,726,G652,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
23,PWK,455,731,G550,No,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
23,PWK,456,733,G550,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
23,PWK,457,735,G651,51 48 50 52 48,SF,2,Female,Y,FALSE,FALSE,FALSE,TRUE,TRUE
23,PWK,458,732,G550,51 48 51 56 53,SF,2,Female,N,FALSE,FALSE,TRUE,TRUE,TRUE
23,PWK,459,734,G550,51 48 50 52 49,SF,2,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
24,PWK,460,672,G467,No,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
24,PWK,461,669,G644,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
24,PWK,462,670,G664,51 48 51 54 50,SF,2,Female,N,FALSE,FALSE,TRUE,TRUE,TRUE
24,PWK,463,736,G651,51 48 50 52 55,SF,2,Female,Y,FALSE,FALSE,FALSE,TRUE,TRUE
24,PWK,464,671,G644,51 48 51 55 53,SF,2,Female,Y,FALSE,FALSE,FALSE,TRUE,TRUE
25,PWK,465,663,G646,51 48 51 55 52,SF,2,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
25,PWK,466,660,G645,51 48 51 55 55,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
25,PWK,467,662,G645,No,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
25,PWK,468,661,G645,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
25,PWK,469,86,G645,51 48 50 53 48,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
26,PWK,470,667,G647,No,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
26,PWK,471,666,G649,51 48 50 49 54,SF,2,Female,N,TRUE,FALSE,FALSE,FALSE,FALSE
26,PWK,472,,G647,No,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
26,PWK,473,88,G647,51 48 51 48 57,SF,2,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
26,PWK,474,665,G649,51 48 51 52 57,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
